t [s]	P* eth [bar]	P* wat [bar]	P* pro [bar]
300.0000	0.1075	0.1119	11.9181
301.3423	0.2031	0.0715	8.7091
302.6846	0.1500	0.0676	3.6969
304.0268	0.1265	0.1095	11.4082
305.3691	0.0697	0.1322	12.4317
306.7114	0.1970	0.0563	13.2408
308.0537	0.0947	0.0676	13.9955
309.3960	0.3472	0.0100	14.5905
310.7383	0.3959	0.0630	12.5324
312.0805	4.3185	0.0680	12.8636
313.4228	0.3265	0.0566	12.3059
314.7651	0.1982	0.0256	15.0046
316.1074	0.2322	2.6170	15.3287
317.4497	0.4371	0.1029	16.6479
318.7919	0.0100	0.1185	37.4573
320.1342	2.9753	0.0796	16.0486
321.4765	0.0100	0.1072	16.8844
322.8188	0.4512	0.1099	15.9474
324.1611	0.4403	0.0450	16.1474
325.5034	5.9067	0.0100	19.5773
326.8456	6.8676	0.0632	16.7264
328.1879	0.5126	0.0284	19.0040
329.5302	0.3546	0.0100	18.0582
330.8725	0.5490	0.0409	20.0598
332.2148	0.2200	0.0455	22.8394
333.5570	6.6451	0.0747	21.0787
334.8993	0.2874	0.1633	23.5046
336.2416	0.7449	0.0496	20.9936
337.5839	0.5494	0.0941	22.2648
338.9262	0.5242	0.0387	23.4581
340.2685	0.4776	0.1317	24.0879
341.6107	0.7854	0.2594	25.8927
342.9530	0.6523	0.1755	25.1868
344.2953	0.7511	0.0100	27.4283
345.6376	0.4978	0.1365	15.2248
346.9799	0.8604	0.1758	21.7156
348.3221	0.9019	0.1998	28.3717
349.6644	0.9509	0.2614	29.8802
351.0067	1.1741	2.8544	28.3346
352.3490	1.0848	0.1308	32.2729
353.6913	0.9654	0.2325	32.3386
355.0336	1.0621	0.4272	33.4386
356.3758	1.2591	0.2162	33.4460
357.7181	0.4241	0.4607	32.4677
359.0604	1.3653	0.3778	34.5451
360.4027	1.4327	0.3801	35.3957
361.7450	1.2546	0.5405	35.9038
363.0872	1.2818	0.4435	35.5543
364.4295	7.7989	0.5589	4.4857
365.7718	1.5576	0.4958	37.6924
367.1141	1.7477	0.6884	40.7099
368.4564	1.7602	0.6634	42.0569
369.7987	2.1402	3.2796	42.7218
371.1409	1.7557	0.9159	45.0588
372.4832	1.9056	0.8184	42.4331
373.8255	1.9766	0.8312	46.6552
375.1678	2.3394	0.3873	44.1362
376.5101	7.7546	1.1309	47.3011
377.8523	2.4507	1.0443	47.7974
379.1946	2.4435	1.1541	49.3670
380.5369	2.5133	1.0639	49.7757
381.8792	2.6069	1.1703	50.1356
383.2215	3.0226	1.3205	83.2847
384.5638	2.8737	1.2700	53.7591
385.9060	3.0376	1.4961	56.2741
387.2483	3.2668	1.4593	55.4559
388.5906	3.6504	3.4147	56.0010
389.9329	3.4101	1.7275	56.5969
391.2752	3.9578	1.7873	57.8304
392.6174	3.7178	1.6787	59.6350
393.9597	4.3502	4.3190	60.3708
395.3020	4.2457	1.9465	62.3322
396.6443	4.6898	1.9470	62.7759
397.9866	4.6689	2.1643	64.0739
399.3289	4.9243	2.2246	68.7271
400.6711	1.5162	1.8115	67.1348
402.0134	5.0648	2.3896	70.1655
403.3557	5.1791	2.7957	72.4389
404.6980	5.4805	0.5885	72.4913
406.0403	5.5994	2.8710	72.6209
407.3826	5.9260	2.9033	74.2421
408.7248	6.2041	3.0957	76.6712
410.0671	6.2502	3.3071	78.5360
411.4094	6.8262	3.6185	79.2634
412.7517	7.0060	3.5198	82.5861
414.0940	7.0991	3.9378	83.9766
415.4362	7.4984	4.0791	86.2576
416.7785	7.5376	4.1217	84.0254
418.1208	8.0716	4.2572	89.2572
419.4631	8.5444	4.4082	88.7297
420.8054	8.5097	4.7096	92.3929
422.1477	8.9959	4.7220	93.2349
423.4899	9.0173	4.9121	96.1384
424.8322	9.6458	1.2644	96.8484
426.1745	9.7420	5.3352	96.8748
427.5168	10.0182	5.6031	99.1617
428.8591	11.6916	5.8111	100.3665
430.2013	10.6231	6.0440	102.0686
431.5436	11.4150	6.2354	103.4001
432.8859	11.3430	6.4336	106.1818
434.2282	12.0808	6.7056	108.7755
435.5705	12.2502	7.1056	108.8998
436.9128	22.0811	7.4667	111.7921
438.2550	13.4240	7.7299	111.9457
439.5973	13.4593	10.2178	114.0155
440.9396	14.0611	8.0121	115.4496
442.2819	14.5066	3.0561	121.2782
443.6242	14.6362	13.6551	119.1515
444.9664	15.2148	9.1138	121.8608
446.3087	16.0737	9.1272	125.6856
447.6510	16.2830	9.6487	125.4571
448.9933	16.9871	9.8061	130.8681
450.3356	17.4105	10.1068	195.6844
451.6779	17.7088	10.5572	135.3552
453.0201	18.5097	10.7582	135.5167
454.3624	18.8231	11.2214	136.7601
455.7047	19.6306	11.5177	139.9494
457.0470	20.0307	11.8376	143.7175
458.3893	20.7640	12.2327	144.1685
459.7315	21.2479	12.5130	226.3718
461.0738	21.8630	13.0100	211.4252
462.4161	19.0867	14.6074	150.2099
463.7584	23.2199	13.6628	150.9126
465.1007	23.6892	14.1956	154.2385
466.4430	24.2210	14.6217	156.8445
467.7852	24.9814	14.7569	161.4544
469.1275	25.3439	15.2248	162.1174
470.4698	26.1850	15.6782	164.4315
471.8121	27.0807	16.2459	166.3684
473.1544	27.6010	16.7303	171.0817
474.4966	28.5087	17.1648	173.7909
475.8389	29.1543	15.6779	176.4481
477.1812	29.7588	17.8601	176.3345
478.5235	38.3672	18.5338	227.4049
479.8658	31.5582	18.7756	183.1135
481.2081	32.3756	19.2076	185.1702
482.5503	33.1881	19.9491	157.7563
483.8926	34.0672	20.2205	184.2735
485.2349	34.9191	20.8580	190.7922
486.5772	33.6858	21.1706	196.6187
487.9195	36.8023	21.8889	196.6234
489.2617	37.4199	22.4554	199.9729
490.6040	43.1973	22.7971	202.8460
491.9463	45.3363	23.3649	206.7678
493.2886	40.4541	23.9062	209.7915
494.6309	32.5899	24.5710	244.2931
495.9732	42.0270	21.8183	213.5878
497.3154	43.4658	25.5178	218.1540
498.6577	44.3742	26.1755	220.8833
500.0000	45.5620	26.7116	220.7209
