t[s]	c [M]
0.0000	1.0049
0.1010	0.9884
0.2020	0.9452
0.3030	0.9084
0.4040	0.8664
0.5051	0.8597
0.6061	0.8109
0.7071	0.8292
0.8081	0.8103
0.9091	0.7269
1.0101	0.7433
1.1111	0.6934
1.2121	0.6744
1.3131	0.6881
1.4141	0.5813
1.5152	0.5622
1.6162	0.5355
1.7172	0.5975
1.8182	0.5733
1.9192	0.5645
2.0202	0.5579
2.1212	0.5230
2.2222	0.4729
2.3232	0.4891
2.4242	0.4076
2.5253	0.4450
2.6263	0.3811
2.7273	0.4474
2.8283	0.3918
2.9293	0.3682
3.0303	0.3407
3.1313	0.3796
3.2323	0.3361
3.3333	0.3361
3.4343	0.2702
3.5354	0.3196
3.6364	0.3088
3.7374	0.2994
3.8384	0.3226
3.9394	0.2872
4.0404	0.2461
4.1414	0.2452
4.2424	0.2629
4.3434	0.1911
4.4444	0.2440
4.5455	0.2369
4.6465	0.1836
4.7475	0.1684
4.8485	0.1802
4.9495	0.1785
5.0505	0.1928
5.1515	0.1735
5.2525	0.2225
5.3535	0.1281
5.4545	0.1332
5.5556	0.1231
5.6566	0.1671
5.7576	0.1221
5.8586	0.1385
5.9596	0.1116
6.0606	0.0986
6.1616	0.0893
6.2626	0.1397
6.3636	0.0837
6.4646	0.0856
6.5657	0.0990
6.6667	0.1405
6.7677	0.0645
6.8687	0.1351
6.9697	0.0576
7.0707	0.1424
7.1717	0.0885
7.2727	0.1362
7.3737	0.0961
7.4747	0.1067
7.5758	0.0340
7.6768	0.0557
7.7778	0.0369
7.8788	0.0520
7.9798	0.0318
8.0808	0.0495
8.1818	0.0568
8.2828	0.0197
8.3838	0.0804
8.4848	0.0658
8.5859	0.0337
8.6869	0.0576
8.7879	0.0128
8.8889	0.0593
8.9899	0.0929
9.0909	0.0302
9.1919	0.0635
9.2929	0.0083
9.3939	0.0653
9.4949	0.0212
9.5960	0.0091
9.6970	0.0481
9.7980	0.0098
9.8990	0.0698
10.0000	0.0138
