c [M]	Abs [-]
0.0000	2.0098
0.1010	2.0030
0.2020	1.9414
0.3030	1.8914
0.4040	1.8295
0.5051	1.8370
0.6061	1.7592
0.7071	1.8146
0.8081	1.7943
0.9091	1.6442
1.0101	1.6925
1.1111	1.6073
1.2121	1.5831
1.3131	1.6232
1.4141	1.4215
1.5152	1.3946
1.6162	1.3517
1.7172	1.4852
1.8182	1.4459
1.9192	1.4365
2.0202	1.4310
2.1212	1.3684
2.2222	1.2747
2.3232	1.3128
2.4242	1.1552
2.5253	1.2349
2.6263	1.1115
2.7273	1.2481
2.8283	1.1403
2.9293	1.0962
3.0303	1.0439
3.1313	1.1240
3.2323	1.0390
3.3333	1.0405
3.4343	0.9101
3.5354	1.0097
3.6364	0.9889
3.7374	0.9705
3.8384	1.0169
3.9394	0.9460
4.0404	0.8633
4.1414	0.8610
4.2424	0.8957
4.3434	0.7510
4.4444	0.8556
4.5455	0.8399
4.6465	0.7317
4.7475	0.6997
4.8485	0.7215
4.9495	0.7160
5.0505	0.7424
5.1515	0.7015
5.2525	0.7972
5.3535	0.6059
5.4545	0.6136
5.5556	0.5906
5.6566	0.6758
5.7576	0.5830
5.8586	0.6129
5.9596	0.5562
6.0606	0.5269
6.1616	0.5053
6.2626	0.6028
6.3636	0.4878
6.4646	0.4882
6.5657	0.5117
6.6667	0.5914
6.7677	0.4361
6.8687	0.5739
6.9697	0.4154
7.0707	0.5816
7.1717	0.4703
7.2727	0.5624
7.3737	0.4786
7.4747	0.4964
7.5758	0.3474
7.6768	0.3873
7.7778	0.3462
7.8788	0.3729
7.9798	0.3292
8.0808	0.3609
8.1818	0.3722
8.2828	0.2944
8.3838	0.4124
8.4848	0.3798
8.5859	0.3122
8.6869	0.3566
8.7879	0.2637
8.8889	0.3532
8.9899	0.4171
9.0909	0.2884
9.1919	0.3516
9.2929	0.2381
9.3939	0.3488
9.4949	0.2573
9.5960	0.2301
9.6970	0.3049
9.7980	0.1859
9.8990	0.3420
10.0000	0.1716
