x	y
0.0000	5.0122
0.0202	5.0728
0.0404	5.0612
0.0606	5.0608
0.0808	5.0422
0.1010	5.1070
0.1212	5.0619
0.1414	5.1800
0.1616	5.2002
0.1818	5.0551
0.2020	5.1550
0.2222	5.0849
0.2424	5.0882
0.2626	5.1691
0.2828	4.9450
0.3030	4.9366
0.3232	4.9057
0.3434	5.0928
0.3636	5.0616
0.3838	5.0654
0.4040	5.0718
0.4242	5.0049
0.4444	4.8971
0.4646	4.9522
0.4848	4.7609
0.5051	4.8646
0.5253	4.7128
0.5455	4.8846
0.5657	4.7496
0.5859	4.6929
0.6061	4.6250
0.6263	4.7215
0.6465	4.6108
0.6667	4.6073
0.6869	4.4382
0.7071	4.5562
0.7273	4.5230
0.7475	4.4925
0.7677	4.5427
0.7879	4.4460
0.8081	4.3344
0.8283	4.3232
0.8485	4.3583
0.8687	4.1693
0.8889	4.2919
0.9091	4.2646
0.9293	4.1218
0.9495	4.0746
0.9697	4.0951
0.9899	4.0819
1.0101	4.1091
1.0303	4.0527
1.0505	4.1677
1.0707	3.9245
1.0909	3.9307
1.1111	3.8993
1.1313	4.0038
1.1515	3.8865
1.1717	3.9234
1.1919	3.8527
1.2121	3.8172
1.2323	3.7920
1.2525	3.9165
1.2727	3.7761
1.2929	3.7809
1.3131	3.8152
1.3333	3.9206
1.3535	3.7331
1.3737	3.9127
1.3939	3.7228
1.4141	3.9393
1.4343	3.8099
1.4545	3.9354
1.4747	3.8418
1.4949	3.8758
1.5152	3.7020
1.5354	3.7651
1.5556	3.7274
1.5758	3.7753
1.5960	3.7356
1.6162	3.7908
1.6364	3.8211
1.6566	3.7405
1.6768	3.9052
1.6970	3.8821
1.7172	3.8157
1.7374	3.8898
1.7576	3.7927
1.7778	3.9240
1.7980	4.0237
1.8182	3.8828
1.8384	3.9824
1.8586	3.8614
1.8788	4.0208
1.8990	3.9278
1.9192	3.9154
1.9394	4.0308
1.9596	3.9041
1.9798	4.1216
2.0000	3.9311
