t [s]	T [K]
0.0000	310.0889
8.6869	309.9741
17.3737	310.2951
26.0606	310.4963
34.7475	310.2266
43.4343	310.4765
52.1212	310.5698
60.8081	310.6445
69.4949	310.5537
78.1818	311.0015
86.8687	310.8307
95.5556	311.1114
104.2424	311.1182
112.9293	310.9964
121.6162	311.3329
130.3030	311.2015
138.9899	311.5201
147.6768	311.4454
156.3636	311.6698
165.0505	311.6482
173.7374	311.7366
182.4242	311.6954
191.1111	311.9925
199.7980	311.9050
208.4848	311.8622
217.1717	312.0196
225.8586	311.7909
234.5455	311.9957
243.2323	312.2373
251.9192	312.1133
260.6061	312.3370
269.2929	312.3008
277.9798	312.2112
286.6667	312.3483
295.3535	312.5384
304.0404	312.6018
312.7273	312.6450
321.4141	312.7345
330.1010	312.7826
338.7879	312.7194
347.4747	312.9977
356.1616	312.7774
364.8485	312.8542
373.5354	313.1235
382.2222	313.1203
390.9091	313.1073
399.5960	312.8421
408.2828	313.2868
416.9697	313.2178
425.6566	313.3921
434.3434	312.9978
443.0303	313.3860
451.7172	313.0604
460.4040	313.3127
469.0909	313.0910
477.7778	313.4756
486.4646	313.4763
495.1515	313.3766
503.8384	313.3134
512.5253	313.1607
521.2121	313.4895
529.8990	313.3807
538.5859	313.5265
547.2727	313.6086
555.9596	313.6716
564.6465	313.6187
573.3333	313.2020
582.0202	313.3799
590.7071	313.5672
599.3939	313.2888
608.0808	313.4628
616.7677	313.2272
625.4545	313.2963
634.1414	313.2004
642.8283	313.5814
651.5152	313.2884
660.2020	313.3396
668.8889	313.6201
677.5758	313.4959
686.2626	313.1459
694.9495	313.1973
703.6364	313.4093
712.3232	313.3694
721.0101	313.1806
729.6970	313.5084
738.3838	313.3266
747.0707	313.2645
755.7576	313.2675
764.4444	313.3122
773.1313	313.0765
781.8182	313.0919
790.5051	312.9687
799.1919	312.9268
807.8788	313.2747
816.5657	313.1399
825.2525	312.9820
833.9394	312.8160
842.6263	312.7939
851.3131	312.6592
860.0000	312.8098
