t [s]	T [K]	Abs [-]
0.0000	298.1500	1.6555
0.3030	298.1500	1.6555
0.6061	298.1500	1.6556
0.9091	298.1500	1.6557
1.2121	298.1500	1.6557
1.5152	298.1500	1.6558
1.8182	298.1500	1.6559
2.1212	298.1500	1.6560
2.4242	298.1500	1.6560
2.7273	298.1500	1.6561
3.0303	298.1500	1.6562
3.3333	298.1500	1.6562
3.6364	298.1500	1.6563
3.9394	298.1500	1.6564
4.2424	298.1500	1.6564
4.5455	298.1500	1.6565
4.8485	298.1500	1.6566
5.1515	298.1500	1.6567
5.4545	298.1500	1.6567
5.7576	298.1500	1.6568
6.0606	298.1500	1.6569
6.3636	298.1500	1.6569
6.6667	298.1500	1.6570
6.9697	298.1500	1.6571
7.2727	298.1500	1.6571
7.5758	298.1500	1.6572
7.8788	298.1500	1.6573
8.1818	298.1500	1.6573
8.4848	298.1500	1.6574
8.7879	298.1500	1.6575
9.0909	298.1500	1.6576
9.3939	298.1500	1.6576
9.6970	298.1500	1.6577
10.0000	298.1500	1.6578
10.3030	298.1500	1.6578
10.6061	298.1500	1.6579
10.9091	298.1500	1.6580
11.2121	298.1500	1.6580
11.5152	298.1500	1.6581
11.8182	298.1500	1.6582
12.1212	298.1500	1.6583
12.4242	298.1500	1.6583
12.7273	298.1500	1.6584
13.0303	298.1500	1.6585
13.3333	298.1500	1.6585
13.6364	298.1500	1.6586
13.9394	298.1500	1.6587
14.2424	298.1500	1.6587
14.5455	298.1500	1.6588
14.8485	298.1500	1.6589
15.1515	298.1500	1.6589
15.4545	298.1500	1.6590
15.7576	298.1500	1.6591
16.0606	298.1500	1.6592
16.3636	298.1500	1.6592
16.6667	298.1500	1.6593
16.9697	298.1500	1.6594
17.2727	298.1500	1.6594
17.5758	298.1500	1.6595
17.8788	298.1500	1.6596
18.1818	298.1500	1.6596
18.4848	298.1500	1.6597
18.7879	298.1500	1.6598
19.0909	298.1500	1.6598
19.3939	298.1500	1.6599
19.6970	298.1500	1.6600
20.0000	298.1500	1.6601
20.3030	298.1500	1.6601
20.6061	298.1500	1.6602
20.9091	298.1500	1.6603
21.2121	298.1500	1.6603
21.5152	298.1500	1.6604
21.8182	298.1500	1.6605
22.1212	298.1500	1.6605
22.4242	298.1500	1.6606
22.7273	298.1500	1.6607
23.0303	298.1500	1.6607
23.3333	298.1500	1.6608
23.6364	298.1500	1.6609
23.9394	298.1500	1.6610
24.2424	298.1500	1.6610
24.5455	298.1500	1.6611
24.8485	298.1500	1.6612
25.1515	298.1500	1.6612
25.4545	298.1500	1.6613
25.7576	298.1500	1.6614
26.0606	298.1500	1.6614
26.3636	298.1500	1.6615
26.6667	298.1500	1.6616
26.9697	298.1500	1.6616
27.2727	298.1500	1.6617
27.5758	298.1500	1.6618
27.8788	298.1500	1.6619
28.1818	298.1500	1.6619
28.4848	298.1500	1.6620
28.7879	298.1500	1.6621
29.0909	298.1500	1.6621
29.3939	298.1500	1.6622
29.6970	298.1500	1.6623
30.0000	298.1500	1.6623
0.0000	323.1500	1.6555
0.3030	323.1500	1.6559
0.6061	323.1500	1.6563
0.9091	323.1500	1.6567
1.2121	323.1500	1.6572
1.5152	323.1500	1.6576
1.8182	323.1500	1.6580
2.1212	323.1500	1.6584
2.4242	323.1500	1.6589
2.7273	323.1500	1.6593
3.0303	323.1500	1.6597
3.3333	323.1500	1.6601
3.6364	323.1500	1.6606
3.9394	323.1500	1.6610
4.2424	323.1500	1.6614
4.5455	323.1500	1.6618
4.8485	323.1500	1.6623
5.1515	323.1500	1.6627
5.4545	323.1500	1.6631
5.7576	323.1500	1.6635
6.0606	323.1500	1.6639
6.3636	323.1500	1.6644
6.6667	323.1500	1.6648
6.9697	323.1500	1.6652
7.2727	323.1500	1.6656
7.5758	323.1500	1.6660
7.8788	323.1500	1.6665
8.1818	323.1500	1.6669
8.4848	323.1500	1.6673
8.7879	323.1500	1.6677
9.0909	323.1500	1.6681
9.3939	323.1500	1.6686
9.6970	323.1500	1.6690
10.0000	323.1500	1.6694
10.3030	323.1500	1.6698
10.6061	323.1500	1.6702
10.9091	323.1500	1.6707
11.2121	323.1500	1.6711
11.5152	323.1500	1.6715
11.8182	323.1500	1.6719
12.1212	323.1500	1.6723
12.4242	323.1500	1.6727
12.7273	323.1500	1.6732
13.0303	323.1500	1.6736
13.3333	323.1500	1.6740
13.6364	323.1500	1.6744
13.9394	323.1500	1.6748
14.2424	323.1500	1.6752
14.5455	323.1500	1.6756
14.8485	323.1500	1.6761
15.1515	323.1500	1.6765
15.4545	323.1500	1.6769
15.7576	323.1500	1.6773
16.0606	323.1500	1.6777
16.3636	323.1500	1.6781
16.6667	323.1500	1.6785
16.9697	323.1500	1.6789
17.2727	323.1500	1.6794
17.5758	323.1500	1.6798
17.8788	323.1500	1.6802
18.1818	323.1500	1.6806
18.4848	323.1500	1.6810
18.7879	323.1500	1.6814
19.0909	323.1500	1.6818
19.3939	323.1500	1.6822
19.6970	323.1500	1.6826
20.0000	323.1500	1.6831
20.3030	323.1500	1.6835
20.6061	323.1500	1.6839
20.9091	323.1500	1.6843
21.2121	323.1500	1.6847
21.5152	323.1500	1.6851
21.8182	323.1500	1.6855
22.1212	323.1500	1.6859
22.4242	323.1500	1.6863
22.7273	323.1500	1.6867
