Timestamp	Sample Time	AI0	AI1	AI2	AI3	AI4	AI5	AI6	AI7
07/09/2022 10:50:25.9	0.000	0.801	0.923	0.718	0.762	0.840	0.000	0.000	0.000
07/09/2022 10:50:26.8	1.000	0.864	0.840	0.771	0.786	0.796	0.000	0.000	0.000
07/09/2022 10:50:27.8	2.000	0.811	0.884	0.781	0.815	0.894	0.000	0.000	0.000
07/09/2022 10:50:28.8	3.000	0.879	0.869	0.776	0.640	0.718	0.000	0.000	0.000
07/09/2022 10:50:29.8	4.000	0.815	0.830	0.806	0.645	0.737	0.000	0.000	0.000
07/09/2022 10:50:30.8	5.000	0.942	0.820	0.732	0.640	0.967	0.000	0.000	0.000
07/09/2022 10:50:31.8	6.000	0.942	0.830	0.781	0.737	0.811	0.000	0.000	0.000
07/09/2022 10:50:32.8	7.000	0.879	0.884	0.850	0.791	0.737	0.000	0.000	0.000
07/09/2022 10:50:33.8	8.000	1.094	0.859	0.742	0.767	0.806	0.000	0.000	0.000
07/09/2022 10:50:34.8	9.000	1.304	0.874	0.742	0.767	0.796	0.000	0.000	0.000
07/09/2022 10:50:35.8	10.000	1.641	0.859	0.698	0.703	0.786	0.000	0.000	0.000
07/09/2022 10:50:36.8	11.000	2.187	0.996	0.762	0.801	0.830	0.000	0.000	0.000
07/09/2022 10:50:37.8	12.000	2.549	1.133	0.698	0.737	0.796	0.000	0.000	0.000
07/09/2022 10:50:38.8	13.000	2.783	1.294	0.708	0.801	0.874	0.000	0.000	0.000
07/09/2022 10:50:39.8	14.000	2.847	1.294	0.762	0.752	0.815	0.000	0.000	0.000
07/09/2022 10:50:40.8	15.000	2.905	1.450	0.825	0.781	0.806	0.000	0.000	0.000
07/09/2022 10:50:41.8	16.000	3.008	1.665	0.737	0.845	0.713	0.000	0.000	0.000
07/09/2022 10:50:42.8	17.000	3.027	1.724	0.718	0.889	0.889	0.000	0.000	0.000
07/09/2022 10:50:43.8	18.000	3.062	1.763	0.786	0.894	0.952	0.000	0.000	0.000
07/09/2022 10:50:44.8	19.000	2.993	2.080	0.762	0.947	0.815	0.000	0.000	0.000
07/09/2022 10:50:45.8	20.000	3.013	2.266	0.762	0.962	0.806	0.000	0.000	0.000
07/09/2022 10:50:46.8	21.000	2.856	2.422	0.776	1.035	0.957	0.000	0.000	0.000
07/09/2022 10:50:47.8	22.000	2.925	2.583	0.845	0.898	0.840	0.000	0.000	0.000
07/09/2022 10:50:48.8	23.000	2.827	2.661	0.898	1.289	0.864	0.000	0.000	0.000
07/09/2022 10:50:49.8	24.000	2.734	2.666	0.898	0.957	0.898	0.000	0.000	0.000
07/09/2022 10:50:50.8	25.000	2.764	2.783	0.913	1.230	0.850	0.000	0.000	0.000
07/09/2022 10:50:51.8	26.000	2.690	2.671	0.898	1.221	0.903	0.000	0.000	0.000
07/09/2022 10:50:52.8	27.000	2.559	2.842	1.035	1.270	0.903	0.000	0.000	0.000
07/09/2022 10:50:53.8	28.000	2.500	2.705	0.894	1.313	0.957	0.000	0.000	0.000
07/09/2022 10:50:54.8	29.000	2.402	2.905	0.991	1.357	0.947	0.000	0.000	0.000
07/09/2022 10:50:55.8	30.000	2.314	2.949	1.011	1.431	0.928	0.000	0.000	0.000
07/09/2022 10:50:56.8	31.000	2.046	2.988	1.050	1.543	1.211	0.000	0.000	0.000
07/09/2022 10:50:57.8	32.000	2.119	2.881	1.040	1.528	0.981	0.000	0.000	0.000
07/09/2022 10:50:58.8	33.000	2.100	2.949	1.035	1.416	1.094	0.000	0.000	0.000
07/09/2022 10:50:59.8	34.000	2.051	2.891	1.079	1.562	1.074	0.000	0.000	0.000
07/09/2022 10:51:00.8	35.000	1.973	2.939	1.045	1.660	1.172	0.000	0.000	0.000
07/09/2022 10:51:01.8	36.000	1.875	2.812	1.025	1.665	1.167	0.000	0.000	0.000
07/09/2022 10:51:02.8	37.000	1.870	2.876	1.104	1.704	1.216	0.000	0.000	0.000
07/09/2022 10:51:03.8	38.000	1.836	2.866	1.050	1.763	1.206	0.000	0.000	0.000
07/09/2022 10:51:04.8	39.000	1.743	2.812	1.060	1.802	1.245	0.000	0.000	0.000
07/09/2022 10:51:05.8	40.000	1.738	2.778	1.079	1.831	1.333	0.000	0.000	0.000
07/09/2022 10:51:06.8	41.000	1.577	2.671	1.060	1.816	1.353	0.000	0.000	0.000
07/09/2022 10:51:07.8	42.000	1.548	2.783	1.060	1.909	1.323	0.000	0.000	0.000
07/09/2022 10:51:08.8	43.000	1.401	2.754	0.928	1.865	1.377	0.000	0.000	0.000
07/09/2022 10:51:09.8	44.000	1.357	2.656	1.089	1.978	1.436	0.000	0.000	0.000
07/09/2022 10:51:10.8	45.000	1.484	2.593	1.040	2.017	1.367	0.000	0.000	0.000
07/09/2022 10:51:11.8	46.000	1.396	2.559	1.064	1.948	1.665	0.000	0.000	0.000
07/09/2022 10:51:12.8	47.000	1.323	2.534	0.986	2.012	1.558	0.000	0.000	0.000
07/09/2022 10:51:13.8	48.000	1.333	2.495	1.025	1.997	1.460	0.000	0.000	0.000
07/09/2022 10:51:14.8	49.000	1.357	2.471	1.025	2.002	1.592	0.000	0.000	0.000
07/09/2022 10:51:15.8	50.000	1.304	2.432	1.016	2.017	1.650	0.000	0.000	0.000
07/09/2022 10:51:16.8	51.000	1.196	2.461	1.021	2.065	1.665	0.000	0.000	0.000
07/09/2022 10:51:17.8	52.000	1.294	2.354	1.001	2.065	1.685	0.000	0.000	0.000
07/09/2022 10:51:18.8	53.000	1.270	2.246	0.972	2.002	1.753	0.000	0.000	0.000
07/09/2022 10:51:19.8	54.000	1.357	2.227	1.016	2.080	1.777	0.000	0.000	0.000
07/09/2022 10:51:20.8	55.000	1.216	2.183	0.986	2.095	1.768	0.000	0.000	0.000
07/09/2022 10:51:21.8	56.000	1.177	2.148	0.991	2.119	1.841	0.000	0.000	0.000
07/09/2022 10:51:22.8	57.000	1.118	2.251	0.947	2.056	1.821	0.000	0.000	0.000
07/09/2022 10:51:23.8	58.000	1.113	2.246	0.889	2.075	1.836	0.000	0.000	0.000
07/09/2022 10:51:24.8	59.000	1.113	2.007	0.933	2.056	1.855	0.000	0.000	0.000
07/09/2022 10:51:25.8	60.000	1.108	2.017	0.898	2.065	1.899	0.000	0.000	0.000
07/09/2022 10:51:26.8	61.000	1.074	2.046	0.879	2.222	1.865	0.000	0.000	0.000
