t [s]	c_{N-1} [M]
0.0000	-0.4951
0.0303	-0.4785
0.0606	-0.4897
0.0909	-0.4954
0.1212	-0.5070
0.1515	-0.4826
0.1818	-0.4973
0.2121	-0.4390
0.2424	-0.4089
0.2727	-0.4313
0.3030	-0.3406
0.3333	-0.3026
0.3636	-0.2212
0.3939	-0.0973
0.4242	-0.0873
0.4545	0.0134
0.4848	0.1056
0.5152	0.2821
0.5455	0.3652
0.5758	0.4539
0.6061	0.5334
0.6364	0.5722
0.6667	0.5828
0.6970	0.6466
0.7273	0.6003
0.7576	0.6611
0.7879	0.6096
0.8182	0.6788
0.8485	0.6174
0.8788	0.5806
0.9091	0.5339
0.9394	0.5485
0.9697	0.4767
1.0000	0.4454
1.0303	0.3460
1.0606	0.3604
1.0909	0.3140
1.1212	0.2687
1.1515	0.2562
1.1818	0.1858
1.2121	0.1106
1.2424	0.0768
1.2727	0.0630
1.3030	-0.0388
1.3333	-0.0143
1.3636	-0.0482
1.3939	-0.1266
1.4242	-0.1652
1.4545	-0.1751
1.4848	-0.1970
1.5152	-0.2014
1.5455	-0.2378
1.5758	-0.2044
1.6061	-0.3132
1.6364	-0.3211
1.6667	-0.3431
1.6970	-0.3098
1.7273	-0.3644
1.7576	-0.3567
1.7879	-0.3913
1.8182	-0.4113
1.8485	-0.4267
1.8788	-0.3818
1.9091	-0.4425
1.9394	-0.4448
1.9697	-0.4351
2.0000	-0.3967
2.0303	-0.4753
2.0606	-0.4070
2.0909	-0.4864
2.1212	-0.4031
2.1515	-0.4583
2.1818	-0.4114
2.2121	-0.4523
2.2424	-0.4422
2.2727	-0.5152
2.3030	-0.4936
2.3333	-0.5124
2.3636	-0.4971
2.3939	-0.5169
2.4242	-0.4989
2.4545	-0.4910
2.4848	-0.5276
2.5152	-0.4662
2.5455	-0.4801
2.5758	-0.5114
2.6061	-0.4867
2.6364	-0.5307
2.6667	-0.4834
2.6970	-0.4489
2.7273	-0.5107
2.7576	-0.4765
2.7879	-0.5306
2.8182	-0.4728
2.8485	-0.5160
2.8788	-0.5270
2.9091	-0.4871
2.9394	-0.5442
2.9697	-0.4636
3.0000	-0.5464
