t [s]	Abs [-]
0.0000	1.6554
0.1010	1.6641
0.2020	1.6751
0.3030	1.6854
0.4040	1.6961
0.5051	1.7038
0.6061	1.7150
0.7071	1.7202
0.8081	1.7287
0.9091	1.7427
1.0101	1.7478
1.1111	1.7588
1.2121	1.7669
1.3131	1.7720
1.4141	1.7879
1.5152	1.7957
1.6162	1.8042
1.7172	1.8044
1.8182	1.8124
1.9192	1.8189
2.0202	1.8251
2.1212	1.8338
2.2222	1.8439
2.3232	1.8476
2.4242	1.8605
2.5253	1.8620
2.6263	1.8730
2.7273	1.8715
2.8283	1.8815
2.9293	1.8884
3.0303	1.8955
3.1313	1.8961
3.2323	1.9046
3.3333	1.9088
3.4343	1.9192
3.5354	1.9184
3.6364	1.9233
3.7374	1.9279
3.8384	1.9292
3.9394	1.9362
4.0404	1.9437
4.1414	1.9471
4.2424	1.9485
4.3434	1.9587
4.4444	1.9564
4.5455	1.9600
4.6465	1.9681
4.7475	1.9724
4.8485	1.9738
4.9495	1.9764
5.0505	1.9774
5.1515	1.9816
5.2525	1.9789
5.3535	1.9905
5.4545	1.9920
5.5556	1.9950
5.6566	1.9924
5.7576	1.9987
5.8586	1.9987
5.9596	2.0031
6.0606	2.0059
6.1616	2.0083
6.2626	2.0045
6.3636	2.0115
6.4646	2.0125
6.5657	2.0123
6.6667	2.0092
6.7677	2.0179
6.8687	2.0117
6.9697	2.0205
7.0707	2.0126
7.1717	2.0189
7.2727	2.0147
7.3737	2.0194
7.4747	2.0189
7.5758	2.0269
7.6768	2.0252
7.7778	2.0276
7.8788	2.0264
7.9798	2.0288
8.0808	2.0273
8.1818	2.0268
8.2828	2.0277
8.3838	2.0248
8.4848	2.0265
8.5859	2.0287
8.6869	2.0275
8.7879	2.0264
8.8889	2.0275
8.9899	2.0240
9.0909	2.0281
9.1919	2.0271
9.2929	2.0259
9.3939	2.0268
9.4949	2.0273
9.5960	2.0262
9.6970	2.0283
9.7980	2.0244
9.8990	2.0259
10.0000	2.0242
